col,present mean,present std,dropped mean,dropped std
0,0.799750,0.001968,0.799464,0.002103
1,0.799611,0.002032,0.800138,0.001740
2,0.799736,0.001894,0.799566,0.002291
3,0.799649,0.001954,0.799880,0.002154
4,0.799710,0.002059,0.799605,0.001565
5,0.799632,0.002036,0.800086,0.001691
6,0.799742,0.001920,0.799388,0.002435
7,0.799728,0.002141,0.799582,0.001367
8,0.799707,0.001953,0.799665,0.002110
9,0.799452,0.002050,0.800612,0.001459
10,0.799610,0.002115,0.800039,0.001385
11,0.799825,0.002042,0.799328,0.001816
12,0.799794,0.002116,0.799382,0.001524
13,0.799521,0.002014,0.800280,0.001823
14,0.799804,0.002054,0.799387,0.001795
15,0.799701,0.002062,0.799667,0.001646
16,0.799588,0.002106,0.800152,0.001357
17,0.799813,0.001800,0.799303,0.002510
18,0.799793,0.002151,0.799433,0.001478
19,0.799728,0.001901,0.799556,0.002363
20,0.799576,0.002075,0.800175,0.001564
21,0.799767,0.001808,0.799468,0.002493
22,0.799621,0.001983,0.800058,0.002029
23,0.799729,0.001961,0.799520,0.002172
24,0.799475,0.001982,0.800634,0.001780
25,0.799743,0.002038,0.799479,0.001789
26,0.799752,0.001961,0.799507,0.002105
27,0.799644,0.002016,0.799931,0.001896
28,0.799758,0.001908,0.799430,0.002323
29,0.799615,0.002055,0.800187,0.001515
30,0.799713,0.001931,0.799630,0.002230
31,0.800002,0.001793,0.798725,0.002282
32,0.799574,0.002075,0.800153,0.001594
33,0.799800,0.001816,0.799324,0.002504
34,0.799632,0.001994,0.800057,0.001979
35,0.799671,0.002030,0.799806,0.001839
36,0.799732,0.001946,0.799587,0.002142
37,0.799612,0.002122,0.800075,0.001216
38,0.799738,0.001960,0.799500,0.002152
39,0.799737,0.002018,0.799564,0.001925
40,0.799684,0.001940,0.799744,0.002229
41,0.799876,0.002044,0.798972,0.001610
42,0.799855,0.001902,0.798968,0.002246
43,0.799641,0.002081,0.799944,0.001538
44,0.799717,0.002078,0.799614,0.001661
45,0.799864,0.001853,0.799061,0.002364
46,0.799667,0.001892,0.799790,0.002314
47,0.799615,0.002124,0.800000,0.001385
48,0.799596,0.002099,0.800259,0.001132
49,0.799767,0.002004,0.799322,0.001922
50,0.799604,0.002062,0.800175,0.001530
51,0.799700,0.001780,0.799684,0.002494
52,0.799581,0.002011,0.800461,0.001726
53,0.799599,0.002079,0.800039,0.001635
54,0.799766,0.002074,0.799350,0.001527
55,0.799685,0.002035,0.799742,0.001831
56,0.799603,0.001937,0.800116,0.002208
57,0.799643,0.002169,0.799918,0.000939
58,0.799638,0.002077,0.799913,0.001649
59,0.799683,0.001860,0.799723,0.002262
60,0.799698,0.001979,0.799679,0.002122
61,0.799662,0.002041,0.799807,0.001843
62,0.799838,0.001880,0.798890,0.002414
63,0.799761,0.002075,0.799448,0.001653
64,0.799734,0.002092,0.799522,0.001481
65,0.799740,0.002017,0.799519,0.001908
66,0.799837,0.001959,0.799331,0.002051
67,0.799806,0.001814,0.799019,0.002786
68,0.799683,0.001970,0.799766,0.002150
69,0.799508,0.002139,0.800444,0.000982
70,0.799717,0.002221,0.799636,0.001144
71,0.799632,0.002014,0.799886,0.001935
72,0.799608,0.002003,0.800096,0.001925
73,0.799668,0.002115,0.799831,0.001275
74,0.799775,0.001874,0.799413,0.002365
75,0.799430,0.002032,0.800827,0.001352
76,0.799696,0.001904,0.799695,0.002256
77,0.799608,0.002012,0.800070,0.001892
78,0.799715,0.002081,0.799647,0.001765
79,0.799617,0.002076,0.799958,0.001685
80,0.799674,0.001906,0.799806,0.002419
81,0.799631,0.002068,0.800124,0.001367
82,0.799761,0.002015,0.799415,0.001899
83,0.799658,0.001826,0.799829,0.002510
84,0.799875,0.001934,0.798679,0.002051
85,0.799631,0.001948,0.799989,0.002186
86,0.799895,0.001890,0.799063,0.002190
87,0.799500,0.002060,0.800281,0.001666
88,0.799702,0.001827,0.799674,0.002462
89,0.799691,0.002111,0.799713,0.001419
90,0.799766,0.001771,0.799430,0.002667
91,0.799637,0.002070,0.799944,0.001633
92,0.799584,0.002077,0.800241,0.001437
93,0.799702,0.001949,0.799674,0.002146
94,0.799570,0.002099,0.800231,0.001367
95,0.799698,0.001954,0.799688,0.002145
96,0.799724,0.002043,0.799599,0.001835
97,0.799604,0.002098,0.800062,0.001479
98,0.799622,0.002069,0.800029,0.001590
99,0.799782,0.002009,0.799326,0.001907
100,0.799673,0.001940,0.799787,0.002213
101,0.799654,0.002078,0.799885,0.001568
102,0.799847,0.001891,0.799264,0.002218
103,0.799640,0.002127,0.799931,0.001289
104,0.799622,0.002086,0.800009,0.001528
105,0.799628,0.001943,0.800004,0.002204
106,0.799665,0.001851,0.799803,0.002444
107,0.799723,0.002073,0.799492,0.001309
108,0.799766,0.001928,0.799412,0.002234
